BeginSample
	_SampleName, "Sample4.mss"
	_MethodName, "Multicycle Compression to Displacement Points.msm"
	PercentSetLoad, 0.000,  "N"
	BreakDrop, 50.0,  "%"
	BreakElongation, 2.540,  "mm"
	BreakSensitivity, 90,  "%"
	BreakThreshold, 2.224,  "N"
	CycleSavingFrequency, 1,  ""
	DataAcqRate, 10.0,  "Hz"
	EndPointBreakingAmount, 0.000,  "mm"
	Extension1, 0.000,  "mm"
	Extension2, 38.100,  "mm"
	Extension3, 44.450,  "mm"
	ExtLimitHigh, 508,  "mm"
	ExtLimitLow, -0.25,  "mm"
	GageLength, 25.557,  "mm"
	Header1, "",  ""
	Header2, "",  ""
	Header3, "",  ""
	HoldTime1, 60.000,  "s"
	HoldTime2, 0.000,  "s"
	LoadLimitHigh, 10009,  "N"
	LoadLimitLow, -4448,  "N"
	_MaxSpecimens, 999,  ""
	ModulusExt1, 30.480,  "mm"
	ModulusExt2, 45.720,  "mm"
	NumCycles, 1,  ""
	PerformPreLoad, "1 Yes",  ""
	PreLoad, 10.000,  "N"
	PreLoadSpeed, 5.000,  "mm/min"
	SampleInfo1, "",  ""
	SampleInfo2, "",  ""
	SampleInfo3, "",  ""
	SampleInfo4, "",  ""
	SampleInfo5, "",  ""
	SampleInfo6, "",  ""
	SampleInfo7, "",  ""
	SampleInfo8, "",  ""
	SampleInfo9, "",  ""
	SampleInfo10, "",  ""
	SampleID, "DensityGroup1TestSpeed1",  ""
	SaveFirstCycle, "1 Yes",  ""
	SaveLastCycle, "1 Yes",  ""
	SlackPreLoad, 4.448,  "N"
	SlopeSegLength, 20.000,  "%"
	StrainLimitHigh, 10,  "mm/mm"
	StrainLimitLow, -10,  "mm/mm"
	StressLimitHigh, 207,  "MPa"
	StressLimitLow, -207,  "MPa"
	TimeLimit, 10000,  "s"
	ZeroExtAfterPreLoad, "1 Yes",  ""
	BeginSpecimen
		Endpoint1, 0.205,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 0.8,  "mm/min"
		Thickness, 12.70,  "mm"
		Width, 12.25,  "mm"
		AdjGage, 21.155,  "mm"
		Area, 155.5750,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "5 of 5 Cycle(s)",  ""
		GageAdjustment, 0.615,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 45.516,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.615,  "mm"
		SlackVal, 0.615,  "mm"
		TestStatus, "5 of 5 Cycle(s)",  ""
		BeginData
			4, 0.046, 10.613, 147.000, 0.073, 0.003
			4, 0.045, 10.433, 147.100, 0.072, 0.003
			4, 0.045, 10.278, 147.200, 0.071, 0.003
			4, 0.044, 10.061, 147.300, 0.069, 0.003
			4, 0.043, 9.837, 147.400, 0.068, 0.003
			4, 0.042, 9.677, 147.500, 0.066, 0.003
			4, 0.041, 9.478, 147.600, 0.065, 0.003
			4, 0.040, 9.291, 147.700, 0.064, 0.003
			4, 0.040, 9.131, 147.800, 0.063, 0.003
			4, 0.039, 8.944, 147.900, 0.061, 0.003
			4, 0.038, 8.811, 148.000, 0.060, 0.003
			4, 0.037, 8.669, 148.100, 0.060, 0.003
			4, 0.037, 8.490, 148.200, 0.058, 0.003
			4, 0.036, 8.246, 148.300, 0.057, 0.003
			4, 0.035, 8.149, 148.400, 0.056, 0.002
			4, 0.034, 7.956, 148.500, 0.055, 0.002
			4, 0.033, 7.716, 148.600, 0.053, 0.002
			4, 0.032, 7.483, 148.700, 0.051, 0.002
			4, 0.031, 7.315, 148.800, 0.050, 0.002
			4, 0.030, 7.150, 148.900, 0.049, 0.002
			4, 0.029, 7.002, 149.000, 0.048, 0.002
			4, 0.029, 6.862, 149.100, 0.047, 0.002
			4, 0.028, 6.720, 149.200, 0.046, 0.002
			4, 0.027, 6.608, 149.300, 0.045, 0.002
			4, 0.027, 6.447, 149.400, 0.044, 0.002
			4, 0.025, 6.317, 149.500, 0.043, 0.002
			4, 0.025, 6.092, 149.600, 0.042, 0.002
			4, 0.024, 5.932, 149.700, 0.041, 0.002
			4, 0.023, 5.791, 149.800, 0.040, 0.002
			4, 0.022, 5.702, 149.900, 0.039, 0.002
			4, 0.022, 5.630, 150.000, 0.039, 0.002
			4, 0.021, 5.511, 150.100, 0.038, 0.001
			4, 0.020, 5.349, 150.200, 0.037, 0.001
			4, 0.019, 5.217, 150.300, 0.036, 0.001
			4, 0.019, 5.133, 150.400, 0.035, 0.001
			4, 0.018, 5.012, 150.500, 0.034, 0.001
			4, 0.017, 4.920, 150.600, 0.034, 0.001
			4, 0.016, 4.787, 150.700, 0.033, 0.001
			4, 0.015, 4.605, 150.800, 0.032, 0.001
			4, 0.014, 4.380, 150.900, 0.030, 0.001
			4, 0.013, 4.320, 151.000, 0.030, 0.001
			4, 0.012, 4.152, 151.100, 0.029, 0.001
			4, 0.012, 4.023, 151.200, 0.028, 0.001
			4, 0.010, 3.953, 151.300, 0.027, 0.001
			4, 0.010, 3.880, 151.400, 0.027, 0.001
			4, 0.009, 3.793, 151.500, 0.026, 0.001
			4, 0.009, 3.617, 151.600, 0.025, 0.001
			4, 0.007, 3.504, 151.700, 0.024, 0.001
			4, 0.007, 3.533, 151.800, 0.024, 0.000
			4, 0.006, 3.319, 151.900, 0.023, 0.000
			4, 0.005, 3.369, 152.000, 0.023, 0.000
			4, 0.004, 3.155, 152.100, 0.022, 0.000
			4, 0.004, 3.122, 152.200, 0.021, 0.000
			4, 0.003, 3.175, 152.300, 0.022, 0.000
			4, 0.002, 3.036, 152.400, 0.021, 0.000
			4, 0.001, 2.906, 152.500, 0.020, 0.000
			4, 0.000, 2.818, 152.600, 0.019, 0.000
			4, -0.000, 2.861, 152.660, 0.020, -0.000
			5, -0.000, 2.828, 152.690, 0.019, -0.000
			5, -0.000, 2.664, 152.780, 0.018, -0.000
			5, -0.001, 2.861, 152.900, 0.020, -0.000
			5, -0.001, 2.879, 153.000, 0.020, -0.000
			5, -0.001, 2.868, 153.100, 0.020, -0.000
			5, -0.001, 2.854, 153.200, 0.020, -0.000
			5, -0.001, 2.846, 153.300, 0.020, -0.000
			5, -0.001, 2.822, 153.400, 0.019, -0.000
			5, -0.001, 2.823, 153.500, 0.019, -0.000
			5, -0.001, 2.782, 153.600, 0.019, -0.000
			5, -0.001, 2.797, 153.700, 0.019, -0.000
			5, -0.001, 2.810, 153.800, 0.019, -0.000
			5, -0.001, 2.855, 153.900, 0.020, -0.000
			5, -0.001, 2.878, 154.000, 0.020, -0.000
			5, -0.001, 2.888, 154.100, 0.020, -0.000
			5, -0.001, 2.900, 154.200, 0.020, -0.000
			5, -0.001, 2.910, 154.300, 0.020, -0.000
			5, -0.001, 2.939, 154.400, 0.020, -0.000
			5, -0.001, 2.948, 154.500, 0.020, -0.000
			5, -0.000, 2.953, 154.600, 0.020, -0.000
			5, -0.000, 2.964, 154.700, 0.020, -0.000
			5, -0.000, 3.011, 154.800, 0.021, -0.000
			5, -0.000, 2.977, 154.900, 0.020, -0.000
			5, -0.000, 2.968, 155.000, 0.020, -0.000
			5, -0.000, 2.942, 155.100, 0.020, -0.000
			5, -0.000, 2.877, 155.200, 0.020, -0.000
			5, -0.000, 2.861, 155.300, 0.020, -0.000
			5, -0.000, 2.865, 155.400, 0.020, -0.000
			5, -0.000, 2.881, 155.500, 0.020, -0.000
			5, -0.000, 2.985, 155.600, 0.020, -0.000
			5, -0.000, 3.004, 155.700, 0.021, -0.000
			5, -0.000, 3.068, 155.800, 0.021, -0.000
			5, -0.000, 3.028, 155.900, 0.021, -0.000
			5, -0.000, 2.974, 156.000, 0.020, -0.000
			5, -0.000, 2.912, 156.100, 0.020, -0.000
			5, -0.000, 2.964, 156.200, 0.020, -0.000
			5, -0.000, 2.997, 156.300, 0.021, -0.000
			5, -0.000, 3.065, 156.400, 0.021, -0.000
			5, -0.000, 3.110, 156.500, 0.021, -0.000
			5, -0.000, 3.042, 156.600, 0.021, -0.000
			5, 0.000, 2.950, 156.700, 0.020, 0.000
			5, 0.000, 2.973, 156.800, 0.020, 0.000
			5, 0.000, 3.102, 156.900, 0.021, 0.000
			5, 0.000, 3.165, 157.000, 0.022, 0.000
			5, 0.001, 3.085, 157.100, 0.021, 0.000
			5, 0.001, 3.049, 157.200, 0.021, 0.000
			5, 0.001, 3.259, 157.300, 0.022, 0.000
			5, 0.002, 3.228, 157.400, 0.022, 0.000
			5, 0.002, 3.221, 157.500, 0.022, 0.000
			5, 0.003, 3.427, 157.600, 0.024, 0.000
			5, 0.004, 3.455, 157.700, 0.024, 0.000
			5, 0.005, 3.632, 157.800, 0.025, 0.000
			5, 0.005, 3.849, 157.900, 0.026, 0.000
			5, 0.007, 4.015, 158.000, 0.028, 0.000
			5, 0.008, 4.129, 158.100, 0.028, 0.001
			5, 0.009, 4.418, 158.200, 0.030, 0.001
			5, 0.009, 4.458, 158.300, 0.031, 0.001
			5, 0.010, 4.662, 158.400, 0.032, 0.001
			5, 0.011, 4.801, 158.500, 0.033, 0.001
			5, 0.012, 4.926, 158.600, 0.034, 0.001
			5, 0.012, 5.056, 158.700, 0.035, 0.001
			5, 0.013, 5.149, 158.800, 0.035, 0.001
			5, 0.014, 5.214, 158.900, 0.036, 0.001
			5, 0.015, 5.432, 159.000, 0.037, 0.001
			5, 0.015, 5.506, 159.100, 0.038, 0.001
			5, 0.016, 5.703, 159.200, 0.039, 0.001
			5, 0.017, 5.895, 159.300, 0.040, 0.001
			5, 0.018, 6.036, 159.400, 0.041, 0.001
			5, 0.019, 6.124, 159.500, 0.042, 0.001
			5, 0.019, 6.300, 159.600, 0.043, 0.001
			5, 0.020, 6.459, 159.700, 0.044, 0.001
			5, 0.021, 6.645, 159.800, 0.046, 0.001
			5, 0.022, 6.849, 159.900, 0.047, 0.002
			5, 0.023, 7.050, 160.000, 0.048, 0.002
			5, 0.024, 7.287, 160.100, 0.050, 0.002
			5, 0.025, 7.454, 160.200, 0.051, 0.002
			5, 0.026, 7.755, 160.300, 0.053, 0.002
			5, 0.027, 7.890, 160.400, 0.054, 0.002
			5, 0.028, 8.076, 160.500, 0.055, 0.002
			5, 0.029, 8.224, 160.600, 0.056, 0.002
			5, 0.029, 8.373, 160.700, 0.057, 0.002
			5, 0.030, 8.519, 160.800, 0.058, 0.002
			5, 0.030, 8.665, 160.900, 0.059, 0.002
			5, 0.031, 8.838, 161.000, 0.061, 0.002
			5, 0.032, 9.058, 161.100, 0.062, 0.002
			5, 0.033, 9.193, 161.200, 0.063, 0.002
			5, 0.034, 9.387, 161.300, 0.064, 0.002
			5, 0.034, 9.580, 161.400, 0.066, 0.002
			5, 0.035, 9.801, 161.500, 0.067, 0.003
			5, 0.036, 9.938, 161.600, 0.068, 0.003
			5, 0.037, 10.099, 161.700, 0.069, 0.003
			5, 0.037, 10.307, 161.800, 0.071, 0.003
			5, 0.038, 10.480, 161.900, 0.072, 0.003
			5, 0.039, 10.692, 162.000, 0.073, 0.003
			5, 0.040, 10.985, 162.100, 0.075, 0.003
			5, 0.041, 11.224, 162.200, 0.077, 0.003
			5, 0.042, 11.510, 162.300, 0.079, 0.003
			5, 0.043, 11.729, 162.400, 0.081, 0.003
			5, 0.044, 12.079, 162.500, 0.083, 0.003
			5, 0.045, 12.244, 162.600, 0.084, 0.003
			5, 0.046, 12.393, 162.700, 0.085, 0.003
			5, 0.047, 12.583, 162.800, 0.086, 0.003
			5, 0.047, 12.746, 162.900, 0.088, 0.003
			5, 0.048, 12.953, 163.000, 0.089, 0.003
			5, 0.049, 13.167, 163.100, 0.090, 0.003
			5, 0.049, 13.376, 163.200, 0.092, 0.003
			5, 0.050, 13.545, 163.300, 0.093, 0.004
			5, 0.051, 13.733, 163.400, 0.094, 0.004
			5, 0.052, 13.957, 163.500, 0.096, 0.004
			5, 0.052, 14.160, 163.600, 0.097, 0.004
			5, 0.054, 14.335, 163.700, 0.098, 0.004
			5, 0.054, 14.554, 163.800, 0.100, 0.004
			5, 0.055, 14.764, 163.900, 0.101, 0.004
			5, 0.055, 14.994, 164.000, 0.103, 0.004
			5, 0.057, 15.240, 164.100, 0.105, 0.004
			5, 0.057, 15.479, 164.200, 0.106, 0.004
			5, 0.059, 15.793, 164.300, 0.108, 0.004
			5, 0.060, 16.093, 164.400, 0.110, 0.004
			5, 0.060, 16.357, 164.500, 0.112, 0.004
			5, 0.062, 16.632, 164.600, 0.114, 0.004
			5, 0.062, 16.882, 164.700, 0.116, 0.004
			5, 0.063, 17.109, 164.800, 0.117, 0.004
			5, 0.064, 17.254, 164.900, 0.118, 0.005
			5, 0.065, 17.453, 165.000, 0.120, 0.005
			5, 0.065, 17.669, 165.100, 0.121, 0.005
			5, 0.066, 17.878, 165.200, 0.123, 0.005
			5, 0.067, 18.091, 165.300, 0.124, 0.005
			5, 0.067, 18.320, 165.400, 0.126, 0.005
			5, 0.069, 18.498, 165.500, 0.127, 0.005
			5, 0.069, 18.771, 165.600, 0.129, 0.005
			5, 0.070, 18.964, 165.700, 0.130, 0.005
			5, 0.070, 19.208, 165.800, 0.132, 0.005
			5, 0.072, 19.387, 165.900, 0.133, 0.005
			5, 0.072, 19.614, 166.000, 0.135, 0.005
			5, 0.073, 19.838, 166.100, 0.136, 0.005
			5, 0.074, 20.108, 166.200, 0.138, 0.005
			5, 0.075, 20.357, 166.300, 0.140, 0.005
			5, 0.075, 20.677, 166.400, 0.142, 0.005
			5, 0.077, 21.019, 166.500, 0.144, 0.005
			5, 0.078, 21.304, 166.600, 0.146, 0.006
			5, 0.079, 21.560, 166.700, 0.148, 0.006
			5, 0.080, 21.850, 166.800, 0.150, 0.006
			5, 0.080, 22.062, 166.900, 0.151, 0.006
			5, 0.081, 22.289, 167.000, 0.153, 0.006
			5, 0.082, 22.488, 167.100, 0.154, 0.006
			5, 0.082, 22.717, 167.200, 0.156, 0.006
			5, 0.084, 22.925, 167.300, 0.157, 0.006
			5, 0.084, 23.206, 167.400, 0.159, 0.006
			5, 0.085, 23.386, 167.500, 0.161, 0.006
			5, 0.085, 23.614, 167.600, 0.162, 0.006
			5, 0.086, 23.811, 167.700, 0.163, 0.006
			5, 0.087, 24.090, 167.800, 0.165, 0.006
			5, 0.088, 24.312, 167.900, 0.167, 0.006
			5, 0.089, 24.568, 168.000, 0.169, 0.006
			5, 0.089, 24.840, 168.100, 0.171, 0.006
			5, 0.090, 25.036, 168.200, 0.172, 0.006
			5, 0.091, 25.234, 168.300, 0.173, 0.006
			5, 0.092, 25.543, 168.400, 0.175, 0.007
			5, 0.093, 25.831, 168.500, 0.177, 0.007
			5, 0.094, 26.166, 168.600, 0.180, 0.007
			5, 0.095, 26.510, 168.700, 0.182, 0.007
			5, 0.096, 26.801, 168.800, 0.184, 0.007
			5, 0.097, 27.097, 168.900, 0.186, 0.007
			5, 0.098, 27.405, 169.000, 0.188, 0.007
			5, 0.099, 27.590, 169.100, 0.189, 0.007
			5, 0.099, 27.822, 169.200, 0.191, 0.007
			5, 0.100, 28.058, 169.300, 0.193, 0.007
			5, 0.100, 28.250, 169.400, 0.194, 0.007
			5, 0.101, 28.471, 169.500, 0.195, 0.007
			5, 0.102, 28.692, 169.600, 0.197, 0.007
			5, 0.103, 28.926, 169.700, 0.199, 0.007
			5, 0.104, 29.161, 169.800, 0.200, 0.007
			5, 0.104, 29.422, 169.900, 0.202, 0.007
			5, 0.105, 29.690, 170.000, 0.204, 0.007
			5, 0.106, 29.945, 170.100, 0.206, 0.008
			5, 0.107, 30.200, 170.200, 0.207, 0.008
			5, 0.107, 30.451, 170.300, 0.209, 0.008
			5, 0.109, 30.665, 170.400, 0.211, 0.008
			5, 0.109, 30.928, 170.500, 0.212, 0.008
			5, 0.110, 31.203, 170.600, 0.214, 0.008
			5, 0.111, 31.571, 170.700, 0.217, 0.008
			5, 0.112, 31.893, 170.800, 0.219, 0.008
			5, 0.113, 32.225, 170.900, 0.221, 0.008
			5, 0.114, 32.549, 171.000, 0.223, 0.008
			5, 0.115, 32.898, 171.100, 0.226, 0.008
			5, 0.116, 33.115, 171.200, 0.227, 0.008
			5, 0.117, 33.371, 171.300, 0.229, 0.008
			5, 0.117, 33.540, 171.400, 0.230, 0.008
			5, 0.118, 33.796, 171.500, 0.232, 0.008
			5, 0.119, 33.972, 171.600, 0.233, 0.008
			5, 0.119, 34.224, 171.700, 0.235, 0.008
			5, 0.120, 34.472, 171.800, 0.237, 0.009
			5, 0.121, 34.713, 171.900, 0.238, 0.009
			5, 0.122, 34.972, 172.000, 0.240, 0.009
			5, 0.122, 35.248, 172.100, 0.242, 0.009
			5, 0.123, 35.509, 172.200, 0.244, 0.009
			5, 0.124, 35.734, 172.300, 0.245, 0.009
			5, 0.124, 35.734, 172.300, 0.245, 0.009
			5, 0.124, 35.795, 172.330, 0.246, 0.009
			5, 0.125, 35.902, 172.500, 0.246, 0.009
			5, 0.125, 35.869, 172.600, 0.246, 0.009
			5, 0.125, 35.818, 172.700, 0.246, 0.009
			5, 0.125, 35.816, 172.800, 0.246, 0.009
			5, 0.125, 35.787, 172.900, 0.246, 0.009
			5, 0.125, 35.750, 173.000, 0.245, 0.009
			5, 0.125, 35.745, 173.100, 0.245, 0.009
			5, 0.125, 35.720, 173.200, 0.245, 0.009
			5, 0.125, 35.717, 173.300, 0.245, 0.009
			5, 0.125, 35.675, 173.400, 0.245, 0.009
			5, 0.125, 35.654, 173.500, 0.245, 0.009
			5, 0.125, 35.639, 173.600, 0.245, 0.009
			5, 0.125, 35.645, 173.700, 0.245, 0.009
			5, 0.124, 35.597, 173.800, 0.244, 0.009
			5, 0.124, 35.591, 173.900, 0.244, 0.009
			5, 0.124, 35.535, 174.000, 0.244, 0.009
			5, 0.124, 35.555, 174.100, 0.244, 0.009
			5, 0.124, 35.578, 174.200, 0.244, 0.009
			5, 0.124, 35.566, 174.300, 0.244, 0.009
			5, 0.124, 35.528, 174.400, 0.244, 0.009
			5, 0.124, 35.524, 174.500, 0.244, 0.009
			5, 0.124, 35.495, 174.600, 0.244, 0.009
			5, 0.124, 35.479, 174.700, 0.244, 0.009
			5, 0.124, 35.477, 174.800, 0.244, 0.009
			5, 0.124, 35.481, 174.900, 0.244, 0.009
			5, 0.124, 35.434, 175.000, 0.243, 0.009
			5, 0.124, 35.447, 175.100, 0.243, 0.009
			5, 0.124, 35.418, 175.200, 0.243, 0.009
			5, 0.124, 35.425, 175.300, 0.243, 0.009
			5, 0.124, 35.419, 175.400, 0.243, 0.009
			5, 0.124, 35.425, 175.500, 0.243, 0.009
			5, 0.124, 35.374, 175.600, 0.243, 0.009
			5, 0.124, 35.355, 175.700, 0.243, 0.009
			5, 0.124, 35.340, 175.800, 0.243, 0.009
			5, 0.124, 35.332, 175.900, 0.243, 0.009
			5, 0.124, 35.305, 176.000, 0.242, 0.009
			5, 0.124, 35.305, 176.100, 0.242, 0.009
			5, 0.124, 35.307, 176.200, 0.242, 0.009
			5, 0.124, 35.281, 176.300, 0.242, 0.009
			5, 0.124, 35.264, 176.400, 0.242, 0.009
			5, 0.124, 35.208, 176.500, 0.242, 0.009
			5, 0.124, 35.121, 176.600, 0.241, 0.009
			5, 0.124, 35.088, 176.700, 0.241, 0.009
			5, 0.123, 35.008, 176.800, 0.240, 0.009
			5, 0.123, 34.975, 176.900, 0.240, 0.009
			5, 0.123, 34.894, 177.000, 0.240, 0.009
			5, 0.122, 34.713, 177.100, 0.238, 0.009
			5, 0.122, 34.450, 177.200, 0.237, 0.009
			5, 0.120, 34.081, 177.300, 0.234, 0.009
			5, 0.120, 33.726, 177.400, 0.232, 0.009
			5, 0.119, 33.398, 177.500, 0.229, 0.008
			5, 0.118, 33.104, 177.600, 0.227, 0.008
			5, 0.117, 32.815, 177.700, 0.225, 0.008
			5, 0.117, 32.526, 177.800, 0.223, 0.008
			5, 0.115, 32.225, 177.900, 0.221, 0.008
			5, 0.115, 31.886, 178.000, 0.219, 0.008
			5, 0.114, 31.580, 178.100, 0.217, 0.008
			5, 0.113, 31.312, 178.200, 0.215, 0.008
			5, 0.112, 31.034, 178.300, 0.213, 0.008
			5, 0.112, 30.702, 178.400, 0.211, 0.008
			5, 0.110, 30.448, 178.500, 0.209, 0.008
			5, 0.110, 30.138, 178.600, 0.207, 0.008
			5, 0.109, 29.862, 178.700, 0.205, 0.008
			5, 0.109, 29.532, 178.800, 0.203, 0.008
			5, 0.107, 29.218, 178.900, 0.201, 0.008
			5, 0.107, 28.937, 179.000, 0.199, 0.008
			5, 0.106, 28.633, 179.100, 0.197, 0.008
			5, 0.105, 28.321, 179.200, 0.194, 0.007
			5, 0.104, 27.907, 179.300, 0.192, 0.007
			5, 0.103, 27.606, 179.400, 0.190, 0.007
			5, 0.102, 27.287, 179.500, 0.187, 0.007
			5, 0.101, 26.972, 179.600, 0.185, 0.007
			5, 0.100, 26.655, 179.700, 0.183, 0.007
			5, 0.100, 26.438, 179.800, 0.182, 0.007
			5, 0.099, 26.174, 179.900, 0.180, 0.007
			5, 0.098, 25.909, 180.000, 0.178, 0.007
			5, 0.097, 25.609, 180.100, 0.176, 0.007
			5, 0.097, 25.333, 180.200, 0.174, 0.007
			5, 0.095, 25.072, 180.300, 0.172, 0.007
			5, 0.095, 24.792, 180.400, 0.170, 0.007
			5, 0.094, 24.459, 180.500, 0.168, 0.007
			5, 0.093, 24.208, 180.600, 0.166, 0.007
			5, 0.092, 23.940, 180.700, 0.164, 0.007
			5, 0.092, 23.651, 180.800, 0.162, 0.007
			5, 0.091, 23.420, 180.900, 0.161, 0.006
			5, 0.090, 23.123, 181.000, 0.159, 0.006
			5, 0.089, 22.817, 181.100, 0.157, 0.006
			5, 0.089, 22.616, 181.200, 0.155, 0.006
			5, 0.087, 22.321, 181.300, 0.153, 0.006
			5, 0.087, 21.976, 181.400, 0.151, 0.006
			5, 0.085, 21.660, 181.500, 0.149, 0.006
			5, 0.084, 21.358, 181.600, 0.147, 0.006
			5, 0.084, 21.046, 181.700, 0.144, 0.006
			5, 0.083, 20.807, 181.800, 0.143, 0.006
			5, 0.082, 20.531, 181.900, 0.141, 0.006
			5, 0.081, 20.336, 182.000, 0.140, 0.006
			5, 0.080, 20.123, 182.100, 0.138, 0.006
			5, 0.080, 19.838, 182.200, 0.136, 0.006
			5, 0.079, 19.621, 182.300, 0.135, 0.006
			5, 0.078, 19.329, 182.400, 0.133, 0.006
			5, 0.077, 19.045, 182.500, 0.131, 0.005
			5, 0.077, 18.806, 182.600, 0.129, 0.005
			5, 0.075, 18.524, 182.700, 0.127, 0.005
			5, 0.075, 18.275, 182.800, 0.125, 0.005
			5, 0.074, 18.041, 182.900, 0.124, 0.005
			5, 0.073, 17.821, 183.000, 0.122, 0.005
			5, 0.072, 17.602, 183.100, 0.121, 0.005
			5, 0.072, 17.289, 183.200, 0.119, 0.005
			5, 0.070, 17.066, 183.300, 0.117, 0.005
			5, 0.070, 16.811, 183.400, 0.115, 0.005
			5, 0.069, 16.508, 183.500, 0.113, 0.005
			5, 0.068, 16.236, 183.600, 0.111, 0.005
			5, 0.067, 15.938, 183.700, 0.109, 0.005
			5, 0.066, 15.664, 183.800, 0.108, 0.005
			5, 0.065, 15.423, 183.900, 0.106, 0.005
			5, 0.064, 15.210, 184.000, 0.104, 0.005
			5, 0.064, 14.986, 184.100, 0.103, 0.005
			5, 0.063, 14.809, 184.200, 0.102, 0.004
			5, 0.062, 14.571, 184.300, 0.100, 0.004
			5, 0.061, 14.387, 184.400, 0.099, 0.004
			5, 0.060, 14.113, 184.500, 0.097, 0.004
			5, 0.060, 13.911, 184.600, 0.096, 0.004
			5, 0.059, 13.698, 184.700, 0.094, 0.004
			5, 0.058, 13.452, 184.800, 0.092, 0.004
			5, 0.057, 13.223, 184.900, 0.091, 0.004
			5, 0.057, 13.031, 185.000, 0.089, 0.004
			5, 0.055, 12.838, 185.100, 0.088, 0.004
			5, 0.055, 12.653, 185.200, 0.087, 0.004
			5, 0.054, 12.394, 185.300, 0.085, 0.004
			5, 0.053, 12.158, 185.400, 0.083, 0.004
			5, 0.052, 11.954, 185.500, 0.082, 0.004
			5, 0.051, 11.693, 185.600, 0.080, 0.004
			5, 0.050, 11.429, 185.700, 0.078, 0.004
			5, 0.049, 11.193, 185.800, 0.077, 0.003
			5, 0.049, 10.967, 185.900, 0.075, 0.003
			5, 0.047, 10.757, 186.000, 0.074, 0.003
			5, 0.047, 10.587, 186.100, 0.073, 0.003
			5, 0.046, 10.430, 186.200, 0.072, 0.003
			5, 0.045, 10.258, 186.300, 0.070, 0.003
			5, 0.045, 10.079, 186.400, 0.069, 0.003
			5, 0.044, 9.862, 186.500, 0.068, 0.003
			5, 0.043, 9.701, 186.600, 0.067, 0.003
			5, 0.042, 9.511, 186.700, 0.065, 0.003
			5, 0.041, 9.308, 186.800, 0.064, 0.003
			5, 0.040, 9.111, 186.900, 0.063, 0.003
			5, 0.040, 8.907, 187.000, 0.061, 0.003
			5, 0.039, 8.776, 187.100, 0.060, 0.003
			5, 0.038, 8.576, 187.200, 0.059, 0.003
			5, 0.037, 8.452, 187.300, 0.058, 0.003
			5, 0.037, 8.276, 187.400, 0.057, 0.003
			5, 0.036, 8.069, 187.500, 0.055, 0.003
			5, 0.035, 7.937, 187.600, 0.054, 0.002
			5, 0.034, 7.726, 187.700, 0.053, 0.002
			5, 0.033, 7.547, 187.800, 0.052, 0.002
			5, 0.032, 7.304, 187.900, 0.050, 0.002
			5, 0.031, 7.144, 188.000, 0.049, 0.002
			5, 0.030, 6.952, 188.100, 0.048, 0.002
			5, 0.029, 6.801, 188.200, 0.047, 0.002
			5, 0.029, 6.688, 188.300, 0.046, 0.002
			5, 0.028, 6.521, 188.400, 0.045, 0.002
			5, 0.027, 6.440, 188.500, 0.044, 0.002
			5, 0.027, 6.263, 188.600, 0.043, 0.002
			5, 0.025, 6.146, 188.700, 0.042, 0.002
			5, 0.025, 6.001, 188.800, 0.041, 0.002
			5, 0.024, 5.864, 188.900, 0.040, 0.002
			5, 0.023, 5.678, 189.000, 0.039, 0.002
			5, 0.022, 5.518, 189.100, 0.038, 0.002
			5, 0.022, 5.461, 189.200, 0.037, 0.002
			5, 0.021, 5.271, 189.300, 0.036, 0.001
			5, 0.020, 5.211, 189.400, 0.036, 0.001
			5, 0.019, 5.065, 189.500, 0.035, 0.001
			5, 0.019, 4.921, 189.600, 0.034, 0.001
			5, 0.018, 4.864, 189.700, 0.033, 0.001
			5, 0.017, 4.755, 189.800, 0.033, 0.001
			5, 0.016, 4.591, 189.900, 0.032, 0.001
			5, 0.015, 4.373, 190.000, 0.030, 0.001
			5, 0.014, 4.319, 190.100, 0.030, 0.001
			5, 0.013, 4.103, 190.200, 0.028, 0.001
			5, 0.012, 3.920, 190.300, 0.027, 0.001
			5, 0.012, 3.864, 190.400, 0.027, 0.001
			5, 0.010, 3.743, 190.500, 0.026, 0.001
			5, 0.010, 3.661, 190.600, 0.025, 0.001
			5, 0.009, 3.606, 190.700, 0.025, 0.001
			5, 0.009, 3.600, 190.800, 0.025, 0.001
			5, 0.007, 3.369, 190.900, 0.023, 0.001
			5, 0.007, 3.326, 191.000, 0.023, 0.000
			5, 0.006, 3.159, 191.100, 0.022, 0.000
			5, 0.005, 3.201, 191.200, 0.022, 0.000
			5, 0.004, 3.134, 191.300, 0.022, 0.000
			5, 0.004, 2.930, 191.400, 0.020, 0.000
			5, 0.003, 2.842, 191.500, 0.020, 0.000
			5, 0.002, 2.742, 191.600, 0.019, 0.000
			5, 0.001, 2.724, 191.700, 0.019, 0.000
			5, 0.000, 2.694, 191.800, 0.018, 0.000
